,hyponym,hypernym,proposed_label
3684,the initial summary rating recommendation,all phase of the formal appraisal process,0.0
3685,review by a high level official,all phase of the formal appraisal process,0.0
3687,customer,balance individual and organizational result with the perspective of distinct group,2.0
3688,employee,balance individual and organizational result with the perspective of distinct group,2.0
3689,time,management of personal and organizational resource,2.0
3690,personnel,management of personal and organizational resource,0.0
3691,equipment,management of personal and organizational resource,0.0
3692,fund,management of personal and organizational resource,0.0
3693,the ses member,pertinent material,2.0
3694,proration impact,rule,0.0
3695,presidential rank awards,incentive award,0.0
3696,a lump sum payment of an amount,the award,0.0
3697,a lump sum payment of an amount,the award,0.0
3698,service under appointment in the ses,ses distinguished and meritorious rank award,0.0
3699,senior foreign service,ses distinguished and meritorious rank award,1.0
3700,federal bureau of investigation,ses distinguished and meritorious rank award,0.0
3701,drug enforcement administration ses,ses distinguished and meritorious rank award,2.0
3702,dis,ses distinguished and meritorious rank award,0.0
3705,final rating by the appoint authority,the full rating process,0.0
3706,reinstatement,a specific remedy,0.0
3707,any support affidavit,the propose action,0.0
3708,documentary evidence,the propose action,0.0
3709,the dod fourth estate,any major organizational component of dod,0.0
3710,the military commands,any major organizational component of dod,0.0
3711,the combatant commands,any major organizational component of dod,0.0
3712,any major organization,any major organizational component of dod,0.0
3713,an installation law enforcement check,an irc,2.0
3714,drug and alcohol record check,an irc,2.0
3715,a check,an irc,0.0
3716,any general special or summary court martial conviction,a conviction,0.0
3717,installation law enforcement record check,an irc,2.0
3718,drug,an irc,2.0
3719,alcohol,an irc,2.0
3720,the military departments,any element of dod,0.0
3721,any work,interaction with child,0.0
3722,record,an individual,1.0
3723,support position,non faculty position,0.0
3724,merit system principle,regulation,0.0
3725,the appointee ,the nature of the rif competition,0.0
3726,what,program,0.0
3727,the employee,program,2.0
3728,chapter,accordance with applicable law,0.0
3729,five core leadership competency,it,0.0
3730,word,software application,2.0
3731,the dod civilian leader development framework,it,0.0
3732,dod civilian leader development continuum,it,0.0
3733,dod civilian leader competency descriptions,it,0.0
3734,leadership,mission critical activity,0.0
3735,education,violence prevention and response program,0.0
3736,training,violence prevention and response program,0.0
3737,education,effectiveness of dod component workplace violence prevention and response program,0.0
3738,training,effectiveness of dod component workplace violence prevention and response program,0.0
3739,this instruction,regulation,0.0
3740,joint duty assignment tour,generalized requirement,0.0
3741,experience in than one dod component,generalized requirement,0.0
3742,the review process,veteran preference eligibility as a positive factor in all stage of the hiring process,0.0
3743,purple heart recipient,10 point preference eligible,0.0
3745,case,an impact on major private or public interest,0.0
3746,the bar,the relevant fact,0.0
3747,recruitment,personnel action for non ses non dises non sl non disl and equivalent level position,0.0
3748,appointment,personnel action for non ses non dises non sl non disl and equivalent level position,0.0
3749,the national reconnaissance office,intelligence and counterintelligence agency,2.0
3750,the national security agency,intelligence and counterintelligence agency,2.0
3751,the national geospatial intelligence agency,intelligence and counterintelligence agency,2.0
3752,the defense intelligence agency,intelligence and counterintelligence agency,0.0
3753,file naming convention,these specification,0.0
3754,security protocol,these specification,0.0
3755,jr,suffix,2.0
3756,the national reconnaissance office,intelligence and counterintelligence agency,2.0
3757,the national security agency,intelligence and counterintelligence agency,2.0
3759,the defense intelligence agency,intelligence and counterintelligence agency,0.0
3760,file naming convention,these specification,0.0
3761,jr,suffix,2.0
3762,all deployment relate transaction,addition,0.0
3764,the national security agency,intelligence and counterintelligence agency,2.0
3765,the national geospatial intelligence agency,intelligence and counterintelligence agency,2.0
3766,the defense intelligence agency,intelligence and counterintelligence agency,0.0
3767,file naming convention,these specification,0.0
3768,jr,suffix,2.0
3769,file naming convention,these specification,0.0
3770,jr,suffix,2.0
3771,jr,suffix,2.0
3772,pursuit by a mob,that person against imminent danger,0.0
3773,territorial sea,protection in area,0.0
3774,international water,protection in area,0.0
3775,physical security,program,2.0
3776,program,enabler,2.0
3777,the geographic combatant commanders,dod,0.0
3778,chemical,chemical and biological defense program,0.0
3779,the number,inclusion in the cbjb,0.0
3780,cost of personnel,inclusion in the cbjb,0.0
3781,specific warning of threat against dod element,information on terrorist threat,0.0
3782,their dependent,all dod personnel,0.0
3783,personnel on temporary duty,their control within their aor,0.0
3784,joint task force,policy for subordinate command,0.0
3785,threat,security,0.0
3787,personnel,intelligence on international terrorist threat,0.0
3788,information on international terrorist group,a cbt knowledge base,0.0
3789,terrorist use of cbrne device,terrorism throughout the entire threat spectrum,0.0
3790,those action,food and water security measure,0.0
3791,territory,the united states,0.0
3792,possession,the united states,0.0
3793,terrorism,plan technique on a variety of security relate issue,0.0
3794,the authority,this relationship,0.0
3795,the annual request for national reporting on the gender perspectives,advisor request,0.0
3796,dod or ,the secdef on icbrn r operation,0.0
3797,any recommend measure,the national industrial security program,0.0
3798,risk to information,net centric operation,0.0
3799,review,assistance for review under this instruction,0.0
3800,mitigation agreement,copy of any pertinent document,0.0
3801,type of mitigation,the dod cfius strategic mitigation plan,0.0
3802,sample mitigation measure,the dod cfius strategic mitigation plan,0.0
3803,agreement,the dod cfius strategic mitigation plan,1.0
3804,an analysis of national export control law,diversion of technology with military application,0.0
3805,regulation,diversion of technology with military application,0.0
3806,purchase,foreign person by any mean,1.0
3807,conversion,foreign person by any mean,2.0
3808,acquisition of voting security,foreign person by any mean,0.0
3809,an estimate of probable occurrence,the identification of a threat,0.0
3810,an assessment of the result,the identification of a threat,0.0
3811,reference,exist statutory authority,0.0
3812,the review,assistance on all legal matter,0.0
3814,insider threat analyst,personnel,0.0
3815,who,personnel,0.0
3816,the ability,user account privilege,2.0
3817,responsibility,whose mission,1.0
3818,the follow minimum standard,information in the eguardian system,0.0
3820,specialized transport,unusual capability,2.0
