,hyponym,hypernym
2444,assembly,aircraft
2445,a gymnasium,facility
2446,reinstatement,employee
2447,the Secretary,DoD official
2448,manpower,annual requirement
2449,decision point,program event
2450,product,requirement
2451,ship,platform
2452,operation,assignment
2453,eligible health care beneficiary,the DoD Components
2454,risk decision point,the RMF task
2455,silencer,Accessories
2456,fatigue,clothing item
2457,the United States,government
2458,the cost,program
2459,alignment,the EM Program
2460,population,the near civilian community
2461,hearing,administrative review procedure
2462,toy,item
2463,lead,dangerous substance
2464,system,item
2465,field,clothing item
2466,any training,365 consecutive day
2467,state,organization
2468,instrumentality,a foreign government
2469,chrysotile,mineral silicate
2470,any communication,an agency
2471,name,mark
2472,lease space service,agency
2473,intelligence system,the DoD
2474,linguist,a detainee
2475,reporting,the conduct
2476,map symbology,application
2477,all tier,Contractor personnel
2478,discharge system,utility
2479,directory,the agencys information resource
2480,the establishment,NLW human effect
2481,deers,association
2482,tank,commodity
2483,all hotel,a JCOC
2484,DC3,CS and IA activity
2485,materiel return,disposition decision
2486,blood sugar monitoring,accommodation
2487,personnel,DoD APFs
2488,retire personnel,the Armed Forces
2489,competition,service
2490,coastal resource,complex issue
2491,tsp,o Retirement planning
2492,lock,item
2493,State,any person
2494,signal device,faulty equipment
2495,a lose medical record,health information
2496,deploy and OCONUS environment,threat area
2497,the condition,surplus property
2498,fine,mean
2499,academic advice,educational service
2500,time,resource
2501,the Homeland Security Council,agency
2502,future application,system
2503,radish,seven fresh topping
2504,force structure requirement,defense
2505,acquisition,current plan
2506,unauthorized entry,a building
2507,the provision,assistance
2508,any action,the investigation
2509,management control,management system
2510,remedial or disciplinary action,change
2511,personnel,time
2512,the target,the threat
2513,MMP enclosure,coordination
2514,facility survey,preparation
2515,presentation,the PPBE process
2516,payroll,administrative and business application
2517,ammunition,excess DoD property
2518,the transmission,responsibility
2519,the mean,civic organization
2520,the disposition action,time
2521,all information,the report
2522,action,the NLSC
2523,applicable standard,DoD property
2524,small arm serialize weapon,DEMIL
2525,amendment,travel order
2526,interim stop,the AFMAO
2527,an extra set,accommodation
2528,drama,or amusement
2529,negotiation impasse,matter
2530,storage,facility
2531,security clearance service,and common support service
2532,the option,all treatment option
2533,the Joint Culinary Center,formal DoD school
2534,any matter,OSD Principal Staff management
2535,spectrum,electronic warfare operation
2536,earthquake,unusual event
2537,bushing,Control measure
2538,communication,contractor
2539,the Code,United States government document
2540,stair,structure
2541,a member,the armed force
2542,distribution,DSLC meeting
2543,the prevention,domestic counterterrorism policy
2544,architecture,topic
2545,the mandatory AAO,specific stratification position
2546,depot,facility
2547,grade reduction,action
2548,procurement,streamline procurement procedure
2549,control,capability
2550,equipment,establish facility
2551,the time,response
2552,MEB narrative summary,member disability case
2553,veterinarian,Army veterinary service personnel
2554,decision,lifecycle
2555,hazard,the job
2556,synchronization,DSCA policy
2557,eligibility criterion,the National Register process
2558,visit Officer Quarters,name
2559,CDF,ropriate
2560,telecommunication system,that information system
2561,database,file
2562,lodging,cost
2563,painting,work function
2564,Administration,personnel level
2565,individual,civilian provider
2566,contact information,change
2567,America,national event
2568,a partnership,any person
2569,military aircraft,all aircraft
2570,facility,category a lodging activity
2571,code,tool
2572,WMD,wmd risk
2573,guidance,authorize SPP activity
2574,personnel,all require resource
2575,unused item,DoD property
2576,capital investment,service
2577,head,agent
2578,the secondary use,risk
2579,reference,guidance
2580,funeral service,interment JOA
2581,responsibility,the DoD FCP
2582,oversight organization,program
2583,phone,secure telephone
2584,access approval,IS
2585,content,content
2586,implementation,tribe
2587,process,sustainment innovation
2588,dodhra,issue
2589,small arm,excess DoD property
2590,supervisor,leader
2591,risk acceptance document,support documentation
2592,fund control,function
2593,bulletin,directive
2594,the military family community,the civilian community
2595,maintenance,planning activity
2596,a funeral service,interment JOA
2597,the protective effect,hazard
2598,protection,security
2599,background paper,all Committee report
2600,the States,the continental United States
2601,transponder,Administration or National Transportation Safety Board modification
2602,Military Department birthday,occasion
2603,the Blended Retirement System,o Retirement planning
2604,DoD,broad authority
2605,participant,security protection
2606,extraction process,patient testing
2607,submission,criminal history datum
2608,property,Federal Government resource
2609,dredging,harbor
2610,oily waste,any oil content
2611,calculator,equipment
2612,production,equipment
2613,system engineering,test data stakeholder
2614,security violation,related paperwork
2615,plan,the EFA plan
2616,JIPT,establish program event
2617,bullet,briefing slide
2618,headquarters,any DoD organization
2619,fabrication,mean
2620,size,propose contract facility
2621,ad hoc task,DoD force structure
2622,specialty pay,program
2623,the hearing committee,the hearing record
2624,the Detention Facility,the DoD
2625,the requirement,procedure
2626,SCI access control system,sap
2627,telephone,communication equipment
2628,CLS,and arrangement
2629,spill response,locally establish regulation
2630,the name,this instruction
2631,manufacture,nuclear weapon stockpile
2632,the use,operation
2633,the promulgation,procedure
2634,a cancellation,amendment
2635,programming,joint project
2636,barrack,duty
2637,any personal identifier,change
2638,supplemental mission fund,instrumentality
2639,coverall,equipment
2640,basic and advanced life,emergency service
2641,DoDI,issuance
2642,those request,the case file
2643,navigation,water system
2644,receipt,the waste
2645,individual positional authority,the DoD Component
2646,mutilation residue,CCL property
2647,the ability,program challenge
2648,one blank line,the second and subsequent grade
2649,the conclusion,a uniquely military occasion
2650,frequency,Component guidance
2651,platform IT system,all connect ISs
2652,U,policy
2653,development,any systematic investigation
2654,corpsman,medical training
2655,device,personal property
2656,the use,practice
2657,occupancy,item
2658,customer wait time metric,Track supply chain performance metric
2659,software,supportability
2660,calibration,reason
2661,contractor response,contract award
2662,medical surveillance,public health activity
2663,food service,White House function
2664,switch,method
2665,NSS,SATCOM resource IT resource
2666,PPBE,CBRD RDA
2667,force,physical security
2668,ccdr,high HQ
2669,dog,not household pet
2670,employee,separate agency
2671,crew,node
2672,the National,intelligence and counterintelligence agency
2673,this instruction,regulation
2674,reference,source
2675,mission purpose,system
2676,radiographic and dye penetrant,a minimum
2677,the labor,cost index
2678,compilation,activity
